;GL_SpectroSoft	3.1.07
;SPX	6.4.2(0.7.2)
Pos	Name	x2	y2	u2'	v2'	L2	a2	b2	X2	Y2	Z2	x10	y10	y10	u10'	v10'	L10	a10	b10	X10	Y10	Z10	CCT	ChErr	Duv	ColPeak	ColPeakVal	Lambda2	ColDom	LumInt	LumEff	Purity	Radiometric	Ra	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	Mivis	Miuv	Binning	Brightness	Pass
										lx													K			nm		nm	nm				W/m²																					
1	2019-03-20T09:19:20	0.3591	0.4	0.2028	0.5084	69.47	-13.04	22.92	39017.7	43471.66	26178.71	0.3653	0.4012	0.4012	0.2063	0.5097	69.55	-11.34	24.34	42612.62	46798.6	27247.14	4727	0.022	0.0174	550.45	649.4	270.3	567.4				159.8701	87.9	85.8	91.3	96.1	82.6	85.3	90.3	91.7	80.5	47.5	83.3	81.6	75.9	86.5	97.4	79.4	1.6	3.1			
2	2019-03-20T09:19:50	0.359	0.4	0.2028	0.5084	69.47	-13.05	22.91	39168.27	43645.41	26287.27	0.3652	0.4012	0.4012	0.2062	0.5097	69.55	-11.36	24.33	42777.51	46986.07	27359.61	4727	0.022	0.0174	550.45	651.8	270.25	567.4				160.471	87.9	85.8	91.3	96.1	82.6	85.3	90.3	91.6	80.5	47.4	83.3	81.6	75.9	86.5	97.4	79.3	1.6	3.1			
3	2019-03-20T09:20:20	0.359	0.4	0.2028	0.5083	69.47	-13.05	22.88	39520.79	44035.06	26542.41	0.3652	0.4011	0.4011	0.2062	0.5097	69.55	-11.35	24.3	43161.84	47407.09	27625.42	4729	0.022	0.0174	550.45	657.71	270.4	567.4				161.9762	87.9	85.8	91.3	96.1	82.6	85.3	90.3	91.6	80.5	47.6	83.4	81.6	75.9	86.5	97.4	79.4	1.6	3.1			
4	2019-03-20T09:20:50	0.3589	0.4001	0.2027	0.5083	69.47	-13.09	22.9	39628.37	44170.07	26611.48	0.3652	0.4012	0.4012	0.2062	0.5097	69.55	-11.39	24.32	43281.63	47551.73	27697.14	4730	0.022	0.0174	550.45	660.17	270.22	567.3				162.3119	87.9	85.7	91.3	96	82.6	85.3	90.3	91.6	80.4	47.2	83.3	81.5	75.8	86.4	97.4	79.3	1.6	3.1			
5	2019-03-20T09:21:20	0.3589	0.4	0.2027	0.5083	69.47	-13.09	22.88	39926.61	44502.57	26823.32	0.3651	0.4011	0.4011	0.2062	0.5097	69.55	-11.39	24.3	43606.38	47911.24	27918.38	4731	0.022	0.0174	552.21	664.37	270.51	567.3				163.7966	87.9	85.8	91.3	96	82.6	85.3	90.3	91.6	80.5	47.6	83.3	81.6	75.9	86.5	97.4	79.4	1.6	3.1			
6	2019-03-20T09:21:50	0.3589	0.3999	0.2027	0.5083	69.47	-13.07	22.86	40238.85	44845.6	27046	0.3651	0.4011	0.4011	0.2062	0.5096	69.55	-11.39	24.28	43946.51	48282.35	28148.85	4731	0.022	0.0174	550.45	669.96	270.59	567.3				165.0675	87.9	85.8	91.3	96	82.6	85.3	90.3	91.6	80.5	47.6	83.4	81.6	75.9	86.5	97.4	79.4	1.6	3.1			
7	2019-03-20T09:22:20	0.3588	0.4	0.2027	0.5083	69.47	-13.09	22.86	40524.11	45168.42	27242.01	0.365	0.4011	0.4011	0.2062	0.5096	69.55	-11.39	24.27	44259.49	48628.39	28355.5	4732	0.022	0.0174	550.45	675.18	270.81	567.3				166.2816	87.9	85.8	91.3	96	82.6	85.3	90.3	91.7	80.5	47.5	83.3	81.6	75.9	86.5	97.4	79.3	1.6	3.1			
8	2019-03-20T09:22:50	0.359	0.4	0.2027	0.5083	69.47	-13.06	22.91	40968.97	45655.22	27501.61	0.3652	0.4012	0.4012	0.2062	0.5097	69.55	-11.37	24.33	44744.24	49150.93	28623.31	4728	0.022	0.0174	550.45	681.87	270.52	567.4				167.8784	87.9	85.8	91.3	96	82.6	85.3	90.3	91.6	80.5	47.4	83.3	81.6	75.9	86.5	97.4	79.3	1.6	3.1			
9	2019-03-20T09:23:20	0.3591	0.4001	0.2028	0.5084	69.48	-13.06	22.96	41300.91	46022.15	27690.84	0.3653	0.4013	0.4013	0.2063	0.5098	69.56	-11.36	24.37	45106.24	49544.48	28819.71	4726	0.022	0.0174	550.45	687.24	270.46	567.4				169.1868	87.9	85.8	91.3	96	82.6	85.3	90.3	91.6	80.5	47.5	83.3	81.6	75.9	86.5	97.4	79.3	1.6	3.1			
