;GL_SpectroSoft	3.1.07
;SPX	6.4.2(0.7.2)
Pos	Name	x2	y2	u2'	v2'	L2	a2	b2	X2	Y2	Z2	x10	y10	y10	u10'	v10'	L10	a10	b10	X10	Y10	Z10	CCT	ChErr	Duv	ColPeak	ColPeakVal	Lambda2	ColDom	LumInt	LumEff	Purity	Radiometric	Ra	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	Mivis	Miuv	Binning	Brightness	Pass
										lx													K			nm		nm	nm				W/m²																					
1	2019-04-01T10:23:40	0.3634	0.4013	0.2051	0.5095	69.56	-11.99	24.04	28519.39	31491.06	18469.83	0.3695	0.4023	0.4023	0.2085	0.5108	69.63	-10.3	25.41	31107.47	33863.65	19213.89	4610	0.021	0.0164	550.45	468.83	273.14	568.7				117.4658	88.8	86.9	91.8	96.3	83.8	86.4	90.8	92.2	82.4	53	84.4	82.9	76.9	87.5	97.6	81	1.5	3.1			
2	2019-04-01T10:24:10	0.3627	0.4008	0.2048	0.5092	69.53	-12.06	23.79	28652.39	31659.13	18677.42	0.3688	0.4018	0.4018	0.2083	0.5105	69.6	-10.38	25.16	31257.56	34051.03	19435.29	4627	0.021	0.0164	550.45	471.46	272.57	568.6				117.8248	88.7	86.8	91.8	96.3	83.7	86.3	90.8	92.2	82.1	52.4	84.3	82.8	76.9	87.4	97.6	80.8	1.5	3.1			
3	2019-04-01T10:24:40	0.3627	0.4008	0.2048	0.5092	69.53	-12.09	23.78	28727.67	31749	18734.96	0.3688	0.4018	0.4018	0.2082	0.5105	69.6	-10.4	25.15	31340.47	34147.88	19494.37	4629	0.021	0.0165	552.21	473.08	272.46	568.6				118.1232	88.7	86.8	91.8	96.3	83.7	86.2	90.7	92.1	82.1	52.2	84.2	82.7	76.8	87.4	97.6	80.8	1.5	3.1			
4	2019-04-01T10:25:10	0.3626	0.4008	0.2047	0.5092	69.53	-12.1	23.77	28779.85	31810.11	18775.02	0.3687	0.4018	0.4018	0.2082	0.5105	69.6	-10.42	25.15	31397.45	34214.02	19535.12	4630	0.021	0.0165	550.45	474.45	272.46	568.6				118.3095	88.7	86.8	91.8	96.3	83.6	86.2	90.7	92.1	82.1	52.2	84.2	82.7	76.8	87.4	97.6	80.7	1.5	3.1			
5	2019-04-01T10:25:40	0.3625	0.4008	0.2047	0.5092	69.53	-12.13	23.74	28764.76	31802.13	18780.71	0.3686	0.4018	0.4018	0.2081	0.5104	69.6	-10.44	25.12	31382.89	34205.36	19542.88	4632	0.021	0.0165	552.21	474.04	272.4	568.5				118.2336	88.7	86.7	91.7	96.3	83.6	86.1	90.7	92.1	82	51.9	84.2	82.6	76.7	87.3	97.6	80.6	1.5	3.1			
6	2019-04-01T10:26:10	0.3625	0.4008	0.2047	0.5092	69.53	-12.14	23.76	29037.64	32106.67	18954.61	0.3687	0.4018	0.4018	0.2081	0.5105	69.6	-10.45	25.14	31680.85	34532.89	19723.16	4632	0.021	0.0165	550.45	478.91	272.35	568.5				119.3252	88.6	86.7	91.7	96.3	83.6	86.1	90.7	92.1	81.9	51.8	84.1	82.6	76.7	87.3	97.6	80.6	1.5	3.1			
7	2019-04-01T10:26:40	0.3625	0.4007	0.2047	0.5091	69.52	-12.13	23.72	29091.59	32164.08	19004.1	0.3686	0.4017	0.4017	0.2081	0.5104	69.59	-10.44	25.1	31740.11	34595.09	19776.34	4634	0.021	0.0165	550.45	479.6	272.21	568.5				119.4772	88.6	86.7	91.7	96.3	83.6	86.1	90.7	92.1	82	51.8	84.1	82.6	76.7	87.3	97.6	80.6	1.5	3.1			
8	2019-04-01T10:27:10	0.3623	0.4006	0.2046	0.5091	69.51	-12.14	23.65	28837.87	31886.18	18870.57	0.3684	0.4016	0.4016	0.2081	0.5103	69.59	-10.46	25.03	31463.68	34298.99	19638.05	4637	0.021	0.0165	552.21	475.38	272.28	568.5				118.4557	88.6	86.7	91.7	96.3	83.6	86.1	90.7	92.1	81.9	51.8	84.2	82.6	76.8	87.3	97.6	80.6	1.5	3.1			
9	2019-04-01T10:27:40	0.3622	0.4006	0.2046	0.5091	69.51	-12.17	23.65	29046.54	32124.98	19013.3	0.3684	0.4017	0.4017	0.208	0.5104	69.59	-10.49	25.03	31692.37	34556.02	19786.44	4640	0.021	0.0165	550.45	479.29	272.04	568.4				119.2808	88.6	86.6	91.7	96.3	83.6	86.1	90.7	92.1	81.9	51.7	84.2	82.6	76.8	87.3	97.6	80.6	1.5	3.1			
10	2019-04-01T10:28:10	0.3622	0.4006	0.2045	0.509	69.51	-12.18	23.62	29094.93	32179.68	19058.58	0.3683	0.4016	0.4016	0.208	0.5103	69.58	-10.49	25	31745.1	34615.34	19833.23	4641	0.021	0.0165	550.45	480.15	272.04	568.4				119.4677	88.6	86.7	91.7	96.3	83.6	86.1	90.7	92.1	81.9	51.7	84.2	82.6	76.7	87.3	97.6	80.6	1.5	3.1			
11	2019-04-01T10:28:40	0.3622	0.4006	0.2046	0.509	69.51	-12.16	23.63	29107.87	32188.95	19057.77	0.3684	0.4016	0.4016	0.208	0.5103	69.58	-10.47	25.01	31758.94	34624.79	19833.25	4640	0.021	0.0165	550.45	480.21	271.97	568.5				119.519	88.6	86.7	91.7	96.3	83.6	86.1	90.7	92.1	81.9	51.8	84.2	82.6	76.7	87.3	97.6	80.6	1.5	3.1			
12	2019-04-01T10:29:10	0.3623	0.4007	0.2046	0.5091	69.52	-12.16	23.67	29209.39	32302.19	19111.04	0.3684	0.4017	0.4017	0.2081	0.5104	69.59	-10.47	25.04	31869.87	34745.87	19888.26	4639	0.021	0.0165	550.45	481.73	271.91	568.5				119.8749	88.6	86.6	91.7	96.3	83.5	86.1	90.7	92.1	81.9	51.7	84.1	82.6	76.7	87.3	97.6	80.6	1.5	3.1			
13	2019-04-01T10:29:40	0.3623	0.4007	0.2046	0.5091	69.52	-12.17	23.66	29246.05	32344.02	19137.93	0.3684	0.4017	0.4017	0.208	0.5104	69.59	-10.48	25.04	31909.9	34791.17	19915.86	4639	0.021	0.0165	550.45	482.06	272.24	568.5				120.0325	88.6	86.6	91.7	96.3	83.5	86.1	90.7	92.1	81.9	51.7	84.2	82.6	76.7	87.3	97.6	80.6	1.5	3.1			
14	2019-04-01T10:30:10	0.3624	0.4006	0.2047	0.5091	69.51	-12.12	23.66	29245.15	32330.69	19130.99	0.3685	0.4016	0.4016	0.2081	0.5104	69.58	-10.44	25.04	31907.64	34776.54	19908.7	4637	0.021	0.0165	550.45	482.62	271.96	568.5				120.0033	88.7	86.7	91.7	96.3	83.6	86.1	90.7	92.1	81.9	51.9	84.2	82.7	76.8	87.3	97.6	80.6	1.5	3.1			
15	2019-04-01T10:30:40	0.3625	0.4006	0.2047	0.5091	69.51	-12.1	23.68	29417.94	32515.92	19228.32	0.3686	0.4016	0.4016	0.2082	0.5104	69.59	-10.41	25.06	32095.68	34974.76	20010.79	4634	0.021	0.0165	550.45	484.99	272.15	568.5				120.7596	88.7	86.7	91.8	96.3	83.6	86.2	90.7	92.1	82	51.9	84.2	82.7	76.8	87.3	97.6	80.7	1.5	3.1			
