;GL_SpectroSoft	3.1.07
;SPX	6.4.2(0.7.2)
Pos	Name	x2	y2	u2'	v2'	L2	a2	b2	X2	Y2	Z2	x10	y10	y10	u10'	v10'	L10	a10	b10	X10	Y10	Z10	CCT	ChErr	Duv	ColPeak	ColPeakVal	Lambda2	ColDom	LumInt	LumEff	Purity	Radiometric	Ra	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	Mivis	Miuv	Binning	Brightness	Pass
										lx													K			nm		nm	nm				W/m²																					
1	2019-03-22T09:16:11	0.364	0.4016	0.2053	0.5097	69.58	-11.88	24.23	41024.89	45257.75	26422.2	0.3702	0.4025	0.4025	0.2089	0.5109	69.65	-10.16	25.6	44745.89	48652.81	27483.11	4596	0.021	0.0163	552.21	673.29	274	568.9				169.0098	88.8	87	91.8	96.5	83.8	86.3	90.7	92.3	82.3	52.7	84.1	82.8	76.7	87.5	97.8	81.1	1.6	3.1			
2	2019-03-22T09:16:41	0.364	0.4015	0.2054	0.5097	69.57	-11.83	24.21	41604.28	45879.78	26798.68	0.3702	0.4024	0.4024	0.2089	0.5109	69.64	-10.12	25.58	45375.88	49322.61	27876.12	4594	0.021	0.0163	550.45	682.25	274.45	568.9				171.3936	88.9	87	91.8	96.5	83.9	86.4	90.8	92.3	82.4	53	84.2	82.9	76.7	87.6	97.8	81.2	1.5	3.1			
3	2019-03-22T09:17:11	0.364	0.4015	0.2054	0.5097	69.58	-11.87	24.22	41795.31	46103.74	26922.59	0.3702	0.4024	0.4024	0.2089	0.5109	69.64	-10.15	25.59	45586.33	49561.3	28004.28	4596	0.021	0.0163	550.45	685.94	274.04	568.9				172.1501	88.8	87	91.8	96.5	83.9	86.3	90.7	92.3	82.3	52.7	84.1	82.8	76.6	87.5	97.8	81.1	1.5	3.1			
4	2019-03-22T09:17:42	0.364	0.4015	0.2054	0.5097	69.58	-11.86	24.22	41830.73	46140.94	26946.88	0.3702	0.4024	0.4024	0.2089	0.5109	69.64	-10.15	25.58	45624.58	49602.94	28029.78	4596	0.021	0.0163	552.21	685.75	274.23	568.9				172.2343	88.8	87	91.8	96.5	83.9	86.3	90.8	92.3	82.3	52.7	84.1	82.9	76.7	87.5	97.8	81.1	1.6	3.1			
5	2019-03-22T09:18:12	0.3639	0.4013	0.2054	0.5096	69.56	-11.84	24.13	41337.76	45589.59	26676.9	0.37	0.4022	0.4022	0.2088	0.5108	69.63	-10.13	25.5	45086.77	49012.9	27752.04	4598	0.021	0.0163	550.45	677.81	274.27	568.9				170.2558	88.9	87	91.8	96.5	83.9	86.3	90.8	92.3	82.3	52.8	84.2	82.9	76.7	87.5	97.8	81.1	1.5	3.1			
6	2019-03-22T09:18:42	0.3639	0.4014	0.2053	0.5096	69.57	-11.87	24.16	40950.21	45171.67	26417.72	0.37	0.4023	0.4023	0.2088	0.5109	69.63	-10.15	25.52	44665.38	48562.05	27482.72	4598	0.021	0.0163	550.45	671.73	274.44	568.9				168.616	88.8	87	91.8	96.5	83.9	86.3	90.7	92.3	82.3	52.6	84.1	82.8	76.7	87.5	97.8	81.1	1.5	3.1			
7	2019-03-22T09:19:12	0.3638	0.4013	0.2053	0.5096	69.56	-11.85	24.13	40076.41	44201.91	25868.25	0.37	0.4022	0.4022	0.2088	0.5108	69.63	-10.14	25.49	43711.38	47521.47	26910.59	4599	0.021	0.0163	550.45	657.7	273.92	568.9				164.9672	88.9	87	91.8	96.5	83.9	86.3	90.8	92.3	82.3	52.8	84.2	82.9	76.7	87.5	97.8	81.1	1.5	3.1			
8	2019-03-22T09:19:42	0.3637	0.4012	0.2053	0.5095	69.55	-11.84	24.07	39432.78	43487.9	25486.61	0.3699	0.4021	0.4021	0.2088	0.5107	69.62	-10.13	25.43	43009.48	46755.2	26516.56	4601	0.021	0.0163	552.21	646.87	274.23	568.9				162.3635	88.9	87.1	91.8	96.5	83.9	86.4	90.8	92.3	82.4	52.9	84.2	82.9	76.8	87.6	97.8	81.2	1.5	3.1			
9	2019-03-22T09:20:12	0.3638	0.4011	0.2054	0.5095	69.55	-11.81	24.06	38962.48	42960.81	25182.7	0.3699	0.402	0.402	0.2088	0.5107	69.61	-10.11	25.42	42495.64	46188.48	26199.92	4600	0.021	0.0162	550.45	639.15	274.55	568.9				160.4171	88.9	87.1	91.9	96.5	84	86.4	90.8	92.3	82.4	52.9	84.2	83	76.8	87.6	97.8	81.2	1.5	3.1			
