;GL_SpectroSoft	3.1.07
;SPX	6.4.2(0.7.2)
Pos	Name	x2	y2	u2'	v2'	L2	a2	b2	X2	Y2	Z2	x10	y10	y10	u10'	v10'	L10	a10	b10	X10	Y10	Z10	CCT	ChErr	Duv	ColPeak	ColPeakVal	Lambda2	ColDom	LumInt	LumEff	Purity	Radiometric	Ra	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	Mivis	Miuv	Binning	Brightness	Pass
										lx													K			nm		nm	nm				W/m²																					
1	2019-03-28T09:25:25	0.2429	0.3172	0.1537	0.4517	63.11	-29.01	-15.71	352.49	460.27	638.4	0.2479	0.3261	0.3261	0.1545	0.4573	63.84	-30.06	-12.84	395.51	520.27	679.86	12309	0.035	0.0366	476.85	10.98	150.53	489.4				1.7267	71.6	60.4	80.3	83.7	60	68.1	80.2	84.1	55.9	0	66.5	55.1	70.5	63.5	88.3	50.6	3.1	5.7			
2	2019-03-28T09:25:55	0.2427	0.3171	0.1536	0.4516	63.1	-29.09	-15.77	351.06	458.75	636.96	0.2476	0.326	0.326	0.1544	0.4572	63.84	-30.15	-12.88	393.91	518.63	678.3	12342	0.036	0.0367	476.85	10.96	150.18	489.4				1.7242	71.6	60.4	80.2	83.7	60	68.1	80.1	84.1	56	0	66.4	55	70.5	63.4	88.3	50.6	3.1	5.8			
3	2019-03-28T09:26:25	0.2427	0.3165	0.1538	0.4512	63.05	-28.87	-15.91	351.69	458.68	638.84	0.2476	0.3255	0.3255	0.1545	0.4569	63.79	-29.98	-13.03	394.53	518.67	680.39	12411	0.035	0.0364	476.85	10.99	149.95	489.3				1.7328	71.9	60.9	80.4	83.8	60.4	68.4	80.3	84.3	56.7	0	66.8	55.5	70.8	63.9	88.4	51.2	3	5.7			
4	2019-03-28T09:26:55	0.2436	0.3162	0.1545	0.4512	63.03	-28.38	-15.89	357.08	463.57	645.36	0.2484	0.3252	0.3252	0.1551	0.4569	63.77	-29.54	-13.01	400.32	524.13	687.42	12307	0.035	0.0358	476.85	11.1	150.11	489.2				1.76	72.5	61.9	80.9	84	61.3	69.2	80.8	84.5	57.8	0	67.8	56.5	71.5	64.8	88.6	52.4	3	5.7			
5	2019-03-28T09:27:25	0.2456	0.3167	0.1557	0.4518	63.07	-27.68	-15.53	364.54	470	649.63	0.2503	0.3255	0.3255	0.1563	0.4574	63.8	-28.85	-12.7	408.3	531.01	692.01	12054	0.034	0.0348	476.85	11.17	151.11	489.3				1.7898	73.5	63.5	81.7	84.5	62.6	70.4	81.6	84.9	59.2	0	69.2	58.2	72.4	66.2	88.9	54.2	2.9	5.7			
6	2019-03-28T09:27:55	0.2485	0.318	0.1573	0.4529	63.17	-26.9	-14.86	378.3	483.98	659.81	0.2531	0.3266	0.3266	0.1579	0.4583	63.88	-28.03	-12.09	423.3	546.09	702.9	11621	0.033	0.0336	476.85	11.34	152.89	489.4				1.8433	74.6	65.1	82.6	84.9	64.1	71.6	82.5	85.3	60.6	0	70.8	59.9	73.4	67.8	89.3	55.9	2.7	5.7			
7	2019-03-28T09:28:25	0.2518	0.32	0.1589	0.4545	63.35	-26.28	-13.94	396.31	503.75	673.96	0.2563	0.3283	0.3283	0.1595	0.4598	64.03	-27.32	-11.24	443.05	567.51	717.82	11156	0.032	0.0326	476.85	11.62	155.16	489.6				1.9099	75.4	66.5	83.4	85.3	65.3	72.6	83.3	85.5	61.4	0	72.2	61.5	74.3	69.2	89.6	57.3	2.6	5.7			
8	2019-03-28T09:28:55	0.2545	0.3223	0.1601	0.4562	63.53	-25.95	-13.04	418.52	529.99	695.98	0.2591	0.3304	0.3304	0.1608	0.4612	64.19	-26.9	-10.39	467.57	596.23	740.95	10776	0.031	0.0319	476.85	12.05	157.96	489.9				1.9991	75.9	67.3	83.9	85.5	66	73.2	83.8	85.6	61.8	0	73.1	62.4	74.8	70.1	89.8	58.1	2.6	5.6			
9	2019-03-28T09:29:25	0.2558	0.3244	0.1604	0.4575	63.7	-26.14	-12.33	446.83	566.56	733.14	0.2605	0.3323	0.3323	0.1611	0.4625	64.35	-27	-9.7	499.14	636.73	780.1	10545	0.031	0.0321	476.85	12.74	158.74	490.2				2.1256	75.9	67.3	83.9	85.7	66	73.1	83.8	85.6	61.7	0	72.9	62.4	74.6	70	89.9	58	2.6	5.6			
10	2019-03-28T09:29:55	0.2557	0.3261	0.1598	0.4584	63.84	-26.77	-11.91	475.66	606.46	777.85	0.2606	0.3339	0.3339	0.1607	0.4633	64.48	-27.53	-9.29	531.52	681.16	827.27	10463	0.032	0.0328	476.85	13.5	158.56	490.5				2.2651	75.5	66.5	83.3	85.9	65.5	72.5	83.1	85.7	61.4	0	71.9	61.7	73.7	69.2	89.9	57.3	2.6	5.6			
11	2019-03-28T09:30:24	0.2551	0.3269	0.1591	0.4588	63.91	-27.35	-11.76	508.23	651.39	832.78	0.26	0.3348	0.3348	0.1601	0.4637	64.55	-28.05	-9.13	568.12	731.48	885.35	10496	0.033	0.0336	476.85	14.4	157.74	490.7				2.4261	75.1	65.8	82.8	86.1	65	71.9	82.5	85.8	61.2	0	70.9	61	72.9	68.5	90	56.7	2.6	5.6			
12	2019-03-28T09:30:54	0.2548	0.3274	0.1588	0.459	63.95	-27.64	-11.67	533.68	685.84	875.15	0.2598	0.3353	0.3353	0.1598	0.464	64.59	-28.33	-9.02	596.63	770.09	930.03	10496	0.033	0.034	476.85	15.16	156.42	490.8				2.5493	74.9	65.5	82.5	86.1	64.7	71.6	82.2	85.8	61.1	0	70.4	60.6	72.4	68.1	89.9	56.3	2.6	5.6			
13	2019-03-28T09:31:24	0.2546	0.3272	0.1587	0.4589	63.93	-27.64	-11.76	565.08	726.23	928.49	0.2595	0.3351	0.3351	0.1597	0.4638	64.57	-28.35	-9.1	631.71	815.59	986.64	10516	0.033	0.034	476.85	16.09	155.76	490.7				2.7028	74.9	65.5	82.5	86	64.7	71.6	82.2	85.8	61.1	0	70.5	60.5	72.5	68.1	89.9	56.4	2.6	5.6			
14	2019-03-28T09:31:54	0.2547	0.3267	0.159	0.4586	63.89	-27.39	-11.86	585.75	751.14	962.44	0.2597	0.3346	0.3346	0.1599	0.4636	64.53	-28.13	-9.21	654.72	843.66	1022.88	10517	0.033	0.0337	476.85	16.68	156.22	490.6				2.8007	75.1	65.8	82.7	85.9	64.9	71.9	82.4	85.8	61.3	0	70.9	60.9	72.8	68.4	89.9	56.7	2.6	5.6			
15	2019-03-28T09:32:25	0.255	0.3256	0.1594	0.4581	63.8	-26.91	-12.13	594.61	759.25	978.25	0.2598	0.3335	0.3335	0.1603	0.463	64.45	-27.71	-9.48	664.45	853.05	1040.16	10559	0.032	0.0331	476.85	16.96	156.93	490.4				2.84	75.5	66.4	83.2	85.9	65.4	72.4	82.9	85.8	61.7	0	71.7	61.5	73.4	69	89.9	57.3	2.6	5.6			
16	2019-03-28T09:32:55	0.2554	0.3245	0.16	0.4575	63.72	-26.37	-12.35	572.74	727.8	942.08	0.2601	0.3325	0.3325	0.1608	0.4625	64.36	-27.23	-9.7	639.81	817.95	1002.14	10561	0.032	0.0324	478.67	16.34	157.82	490.3				2.7294	75.8	67.1	83.6	85.8	65.8	72.9	83.5	85.7	61.9	0	72.6	62.1	74.2	69.8	89.9	57.9	2.6	5.6			
17	2019-03-28T09:33:25	0.255	0.3229	0.1602	0.4566	63.58	-25.97	-12.82	540.39	684.34	894.68	0.2596	0.331	0.331	0.1609	0.4616	64.24	-26.91	-10.17	603.6	769.63	952.19	10706	0.031	0.0319	476.85	15.49	157.94	490				2.5795	76	67.5	83.9	85.7	66.1	73.3	83.8	85.6	62.1	0	73.1	62.6	74.7	70.2	89.9	58.3	2.6	5.6			
18	2019-03-28T09:33:55	0.2534	0.3214	0.1596	0.4555	63.46	-26.1	-13.4	499.34	633.38	838.03	0.2579	0.3296	0.3296	0.1602	0.4607	64.13	-27.09	-10.73	557.97	712.94	892.26	10926	0.031	0.0322	476.85	14.48	156.37	489.8				2.3962	75.8	67.1	83.7	85.5	65.8	73	83.6	85.6	61.8	0	72.7	62.1	74.5	69.7	89.8	57.9	2.6	5.6			
19	2019-03-28T09:34:25	0.2507	0.3196	0.1583	0.4542	63.31	-26.57	-14.16	467.38	595.79	800.76	0.2553	0.328	0.328	0.1589	0.4595	64	-27.63	-11.44	522.64	671.45	852.8	11286	0.032	0.033	476.85	13.78	154.1	489.6				2.261	75.2	66	83.1	85.3	64.9	72.2	82.9	85.5	61.3	0	71.6	61	73.9	68.7	89.6	56.9	2.7	5.7			
20	2019-03-28T09:34:55	0.2482	0.3182	0.157	0.453	63.2	-27.14	-14.83	446.02	571.89	779.25	0.2528	0.3268	0.3268	0.1576	0.4584	63.9	-28.26	-12.05	499.14	645.31	829.92	11645	0.033	0.0339	476.85	13.41	152.25	489.4				2.1742	74.4	64.8	82.4	84.9	63.8	71.4	82.2	85.3	60.4	0	70.5	59.6	73.1	67.5	89.3	55.6	2.8	5.7			
21	2019-03-28T09:35:25	0.2462	0.3175	0.1559	0.4523	63.13	-27.72	-15.27	430.89	555.67	763.84	0.2509	0.3263	0.3263	0.1565	0.4578	63.86	-28.87	-12.43	482.55	627.58	813.41	11927	0.034	0.0348	476.85	13.15	150.88	489.4				2.1112	73.6	63.6	81.8	84.5	62.8	70.5	81.6	84.9	59.3	0	69.3	58.3	72.4	66.4	89	54.3	2.9	5.7			
22	2019-03-28T09:35:55	0.2449	0.3172	0.1551	0.452	63.11	-28.2	-15.47	422.32	547.13	755.18	0.2497	0.3261	0.3261	0.1557	0.4576	63.85	-29.34	-12.61	473.23	618.22	804.11	12093	0.034	0.0355	476.85	13.02	150.09	489.4				2.0738	73	62.6	81.3	84.2	61.9	69.7	81.1	84.7	58.3	0	68.4	57.2	71.8	65.4	88.7	53.1	2.9	5.7			
