Place,Date,Time,Value,Unit
1789,2/20/19,10:15:04,18220,LUX     
1790,2/20/19,10:15:14,18220,LUX     
1791,2/20/19,10:15:24,15900,LUX     
1792,2/20/19,10:15:34,15900,LUX     
1793,2/20/19,10:15:44,15900,LUX     
1794,2/20/19,10:15:54,15900,LUX     
1795,2/20/19,10:16:04,13810,LUX     
1796,2/20/19,10:16:14,13810,LUX     
1797,2/20/19,10:16:24,13810,LUX     
1798,2/20/19,10:16:34,14270,LUX     
1799,2/20/19,10:16:44,14270,LUX     
1800,2/20/19,10:16:54,14270,LUX     
1801,2/20/19,10:17:04,14040,LUX     
1802,2/20/19,10:17:14,14040,LUX     
1803,2/20/19,10:17:24,14040,LUX     
1804,2/20/19,10:17:34,14040,LUX     
1805,2/20/19,10:17:44,14970,LUX     
1806,2/20/19,10:17:54,14970,LUX     
1807,2/20/19,10:18:04,16130,LUX     
1808,2/20/19,10:18:14,16830,LUX     
1809,2/20/19,10:18:24,16600,LUX     
1810,2/20/19,10:18:34,16600,LUX     
1811,2/20/19,10:18:44,16600,LUX     
1812,2/20/19,10:18:54,16600,LUX     
1813,2/20/19,10:19:04,16600,LUX     
1814,2/20/19,10:19:14,16600,LUX     
1815,2/20/19,10:19:24,16600,LUX     
1816,2/20/19,10:19:34,16600,LUX     
1817,2/20/19,10:19:44,16600,LUX     
1818,2/20/19,10:19:54,16600,LUX     
1819,2/20/19,10:20:04,16600,LUX     
1820,2/20/19,10:20:14,23800,LUX     
1821,2/20/19,10:20:24,23800,LUX     
1822,2/20/19,10:20:34,25000,LUX     
1823,2/20/19,10:20:44,25000,LUX     
1824,2/20/19,10:20:54,25000,LUX     
1825,2/20/19,10:21:04,25000,LUX     
1826,2/20/19,10:21:14,27100,LUX     
1827,2/20/19,10:21:24,27100,LUX     
1828,2/20/19,10:21:34,27100,LUX     
1829,2/20/19,10:21:44,28900,LUX     
1830,2/20/19,10:21:54,28900,LUX     
1831,2/20/19,10:22:04,29100,LUX     
1832,2/20/19,10:22:14,29100,LUX     
1833,2/20/19,10:22:24,28900,LUX     
1834,2/20/19,10:22:34,29400,LUX     
1835,2/20/19,10:22:44,30100,LUX     
1836,2/20/19,10:22:54,30100,LUX     
1837,2/20/19,10:23:04,30100,LUX     
1838,2/20/19,10:23:14,30100,LUX     
1839,2/20/19,10:23:24,29800,LUX     
1840,2/20/19,10:23:34,29800,LUX     
1841,2/20/19,10:23:44,29800,LUX     
1842,2/20/19,10:23:54,29800,LUX     
1843,2/20/19,10:24:04,29800,LUX     
1844,2/20/19,10:24:14,30100,LUX     
1845,2/20/19,10:24:24,30100,LUX     
1846,2/20/19,10:24:34,30100,LUX     
1847,2/20/19,10:24:44,29400,LUX     
1848,2/20/19,10:24:54,28900,LUX     
1849,2/20/19,10:25:04,28900,LUX     
1850,2/20/19,10:25:14,30500,LUX     
1851,2/20/19,10:25:24,30500,LUX     
1852,2/20/19,10:25:34,30500,LUX     
1853,2/20/19,10:25:44,30300,LUX     
1854,2/20/19,10:25:54,30300,LUX     
1855,2/20/19,10:26:04,29800,LUX     
1856,2/20/19,10:26:14,29100,LUX     
1857,2/20/19,10:26:24,29100,LUX     
1858,2/20/19,10:26:34,30500,LUX     
1859,2/20/19,10:26:44,29600,LUX     
1860,2/20/19,10:26:54,29800,LUX     
1861,2/20/19,10:27:04,29800,LUX     
1862,2/20/19,10:27:14,29800,LUX     
1863,2/20/19,10:27:24,29800,LUX     
1864,2/20/19,10:27:34,29400,LUX     
1865,2/20/19,10:27:44,29400,LUX     
1866,2/20/19,10:27:54,29400,LUX     
1867,2/20/19,10:28:04,29400,LUX     
1868,2/20/19,10:28:14,29400,LUX     
1869,2/20/19,10:28:24,28900,LUX     
1870,2/20/19,10:28:34,28900,LUX     
1871,2/20/19,10:28:44,29600,LUX     
1872,2/20/19,10:28:54,29400,LUX     
1873,2/20/19,10:29:04,29400,LUX     
1874,2/20/19,10:29:14,29400,LUX     
1875,2/20/19,10:29:24,29100,LUX     
1876,2/20/19,10:29:34,29100,LUX     
1877,2/20/19,10:29:44,29100,LUX     
1878,2/20/19,10:29:54,28900,LUX     
1879,2/20/19,10:30:04,28900,LUX     
1880,2/20/19,10:30:14,28900,LUX     
1881,2/20/19,10:30:24,28900,LUX     
1882,2/20/19,10:30:34,28900,LUX     
1883,2/20/19,10:30:44,28900,LUX     
1884,2/20/19,10:30:54,29600,LUX     
1885,2/20/19,10:31:04,29600,LUX     
1886,2/20/19,10:31:14,29600,LUX     
1887,2/20/19,10:31:24,30300,LUX     
1888,2/20/19,10:31:34,30300,LUX     
1889,2/20/19,10:31:44,30300,LUX     
1890,2/20/19,10:31:54,30300,LUX     
1891,2/20/19,10:32:04,30500,LUX     
1892,2/20/19,10:32:14,30500,LUX     
1893,2/20/19,10:32:24,30300,LUX     
1894,2/20/19,10:32:34,30300,LUX     
1895,2/20/19,10:32:44,30300,LUX     
1896,2/20/19,10:32:54,30300,LUX     
1897,2/20/19,10:33:04,30100,LUX     
1898,2/20/19,10:33:14,29800,LUX     
1899,2/20/19,10:33:24,29800,LUX     
1900,2/20/19,10:33:34,29800,LUX     
1901,2/20/19,10:33:44,29800,LUX     
1902,2/20/19,10:33:54,29100,LUX     
1903,2/20/19,10:34:04,29100,LUX     
1904,2/20/19,10:34:14,29100,LUX     
1905,2/20/19,10:34:24,28700,LUX     
1906,2/20/19,10:34:34,28700,LUX     
1907,2/20/19,10:34:44,28000,LUX     
1908,2/20/19,10:34:54,28000,LUX     
1909,2/20/19,10:35:04,28000,LUX     
1910,2/20/19,10:35:14,29400,LUX     
1911,2/20/19,10:35:24,28900,LUX     
1912,2/20/19,10:35:34,29100,LUX     
1913,2/20/19,10:35:44,29100,LUX     
1914,2/20/19,10:35:54,29100,LUX     
1915,2/20/19,10:36:04,29100,LUX     
1916,2/20/19,10:36:14,28400,LUX     
1917,2/20/19,10:36:24,28000,LUX     
1918,2/20/19,10:36:34,28000,LUX     
1919,2/20/19,10:36:44,28000,LUX     
1920,2/20/19,10:36:54,28000,LUX     
1921,2/20/19,10:37:04,28200,LUX     
1922,2/20/19,10:37:14,29600,LUX     
1923,2/20/19,10:37:24,29600,LUX     
1924,2/20/19,10:37:34,29600,LUX     
1925,2/20/19,10:37:44,29600,LUX     
1926,2/20/19,10:37:54,29100,LUX     
1927,2/20/19,10:38:04,30100,LUX     
1928,2/20/19,10:38:14,30100,LUX     
1929,2/20/19,10:38:24,30100,LUX     
1930,2/20/19,10:38:34,29100,LUX     
1931,2/20/19,10:38:44,29100,LUX     
1932,2/20/19,10:38:54,29100,LUX     
1933,2/20/19,10:39:04,29100,LUX     
1934,2/20/19,10:39:14,29600,LUX     
1935,2/20/19,10:39:24,29600,LUX     
1936,2/20/19,10:39:34,30500,LUX     
1937,2/20/19,10:39:44,30500,LUX     
1938,2/20/19,10:39:54,30500,LUX     
1939,2/20/19,10:40:04,30500,LUX     
1940,2/20/19,10:40:14,30500,LUX     
1941,2/20/19,10:40:24,30500,LUX     
1942,2/20/19,10:40:34,30500,LUX     
1943,2/20/19,10:40:44,29800,LUX     
1944,2/20/19,10:40:54,29800,LUX     
1945,2/20/19,10:41:04,29800,LUX     
1946,2/20/19,10:41:14,29800,LUX     
1947,2/20/19,10:41:24,29800,LUX     
1948,2/20/19,10:41:34,29800,LUX     
1949,2/20/19,10:41:44,29800,LUX     
1950,2/20/19,10:41:54,29800,LUX     
1951,2/20/19,10:42:04,28700,LUX     
1952,2/20/19,10:42:14,28700,LUX     
1953,2/20/19,10:42:24,28700,LUX     
1954,2/20/19,10:42:34,29100,LUX     
1955,2/20/19,10:42:44,29100,LUX     
1956,2/20/19,10:42:54,28400,LUX     
1957,2/20/19,10:43:04,28400,LUX     
1958,2/20/19,10:43:14,28700,LUX     
1959,2/20/19,10:43:24,28000,LUX     
1960,2/20/19,10:43:34,27700,LUX     
1961,2/20/19,10:43:44,27700,LUX     
1962,2/20/19,10:43:54,27700,LUX     
1963,2/20/19,10:44:04,27500,LUX     
1964,2/20/19,10:44:14,27500,LUX     
1965,2/20/19,10:44:24,27500,LUX     
1966,2/20/19,10:44:34,29100,LUX     
1967,2/20/19,10:44:44,29100,LUX     
1968,2/20/19,10:44:54,29800,LUX     
1969,2/20/19,10:45:04,29800,LUX     
1970,2/20/19,10:45:14,29400,LUX     
1971,2/20/19,10:45:24,29800,LUX     
1972,2/20/19,10:45:34,29800,LUX     
1973,2/20/19,10:45:44,29800,LUX     
1974,2/20/19,10:45:54,29800,LUX     
1975,2/20/19,10:46:04,29800,LUX     
1976,2/20/19,10:46:14,29600,LUX     
1977,2/20/19,10:46:24,29600,LUX     
1978,2/20/19,10:46:34,29600,LUX     
1979,2/20/19,10:46:44,29600,LUX     
1980,2/20/19,10:46:54,29600,LUX     
1981,2/20/19,10:47:04,29600,LUX     
1982,2/20/19,10:47:14,29600,LUX     
1983,2/20/19,10:47:24,29100,LUX     
1984,2/20/19,10:47:34,29100,LUX     
1985,2/20/19,10:47:44,29100,LUX     
1986,2/20/19,10:47:54,29100,LUX     
1987,2/20/19,10:48:04,29100,LUX     
1988,2/20/19,10:48:14,28700,LUX     
1989,2/20/19,10:48:24,28700,LUX     
1990,2/20/19,10:48:34,29600,LUX     
1991,2/20/19,10:48:44,29600,LUX     
1992,2/20/19,10:48:54,29600,LUX     
1993,2/20/19,10:49:04,29400,LUX     
1994,2/20/19,10:49:14,29400,LUX     
1995,2/20/19,10:49:24,29400,LUX     
1996,2/20/19,10:49:34,29400,LUX     
1997,2/20/19,10:49:44,29400,LUX     
1998,2/20/19,10:49:54,28900,LUX     
1999,2/20/19,10:50:04,29800,LUX     
2000,2/20/19,10:50:14,29800,LUX     
2001,2/20/19,10:50:24,29800,LUX     
2002,2/20/19,10:50:34,29800,LUX     
2003,2/20/19,10:50:44,28700,LUX     
2004,2/20/19,10:50:54,28700,LUX     
2005,2/20/19,10:51:04,28900,LUX     
2006,2/20/19,10:51:14,28900,LUX     
2007,2/20/19,10:51:24,28700,LUX     
2008,2/20/19,10:51:34,28700,LUX     
2009,2/20/19,10:51:44,28700,LUX     
2010,2/20/19,10:51:54,28900,LUX     
2011,2/20/19,10:52:04,28900,LUX     
2012,2/20/19,10:52:14,27500,LUX     
2013,2/20/19,10:52:24,27500,LUX     
2014,2/20/19,10:52:34,27700,LUX     
2015,2/20/19,10:52:44,27700,LUX     
2016,2/20/19,10:52:54,27700,LUX     
2017,2/20/19,10:53:04,27700,LUX     
2018,2/20/19,10:53:14,27700,LUX     
2019,2/20/19,10:53:24,27100,LUX     
2020,2/20/19,10:53:34,27500,LUX     
2021,2/20/19,10:53:44,27500,LUX     
2022,2/20/19,10:53:54,27500,LUX     
2023,2/20/19,10:54:04,27500,LUX     
2024,2/20/19,10:54:14,28200,LUX     
2025,2/20/19,10:54:24,28200,LUX     
2026,2/20/19,10:54:34,28200,LUX     
2027,2/20/19,10:54:44,27300,LUX     
2028,2/20/19,10:54:54,27300,LUX     
2029,2/20/19,10:55:04,27300,LUX     
2030,2/20/19,10:55:14,27300,LUX     
2031,2/20/19,10:55:24,26800,LUX     
2032,2/20/19,10:55:34,26800,LUX     
2033,2/20/19,10:55:44,26800,LUX     
2034,2/20/19,10:55:54,26800,LUX     
2035,2/20/19,10:56:04,27500,LUX     
2036,2/20/19,10:56:14,27500,LUX     
2037,2/20/19,10:56:24,28000,LUX     
2038,2/20/19,10:56:34,28700,LUX     
2039,2/20/19,10:56:44,28900,LUX     
2040,2/20/19,10:56:54,28900,LUX     
2041,2/20/19,10:57:04,28900,LUX     
2042,2/20/19,10:57:14,28900,LUX     
2043,2/20/19,10:57:24,28900,LUX     
2044,2/20/19,10:57:34,28900,LUX     
2045,2/20/19,10:57:44,28900,LUX     
2046,2/20/19,10:57:54,27700,LUX     
2047,2/20/19,10:58:04,27300,LUX     
2048,2/20/19,10:58:14,27300,LUX     
2049,2/20/19,10:58:24,27300,LUX     
2050,2/20/19,10:58:34,25400,LUX     
2051,2/20/19,10:58:44,25400,LUX     
2052,2/20/19,10:58:54,25400,LUX     
2053,2/20/19,10:59:04,27500,LUX     
2054,2/20/19,10:59:14,27500,LUX     
2055,2/20/19,10:59:24,27500,LUX     
2056,2/20/19,10:59:34,25900,LUX     
2057,2/20/19,10:59:44,25900,LUX     
2058,2/20/19,10:59:54,27100,LUX     
2059,2/20/19,11:00:04,27700,LUX     
2060,2/20/19,11:00:14,27100,LUX     
2061,2/20/19,11:00:24,28200,LUX     
2062,2/20/19,11:00:34,28200,LUX     
2063,2/20/19,11:00:44,27700,LUX     
2064,2/20/19,11:00:54,27300,LUX     
2065,2/20/19,11:01:04,26800,LUX     
2066,2/20/19,11:01:14,26800,LUX     
2067,2/20/19,11:01:24,26800,LUX     
2068,2/20/19,11:01:34,26800,LUX     
2069,2/20/19,11:01:44,26600,LUX     
2070,2/20/19,11:01:54,26600,LUX     
2071,2/20/19,11:02:04,26400,LUX     
2072,2/20/19,11:02:14,27100,LUX     
2073,2/20/19,11:02:24,27100,LUX     
2074,2/20/19,11:02:34,27100,LUX     
