Place,Date,Time,Value,Unit
2803,2/22/19,10:55:07,734,LUX     
2804,2/22/19,10:55:17,600,LUX     
2805,2/22/19,10:55:27,566,LUX     
2806,2/22/19,10:55:37,567,LUX     
2807,2/22/19,10:55:47,549,LUX     
2808,2/22/19,10:55:57,545,LUX     
2809,2/22/19,10:56:07,506,LUX     
2810,2/22/19,10:56:17,451,LUX     
2811,2/22/19,10:56:27,383,LUX     
2812,2/22/19,10:56:37,322,LUX     
2813,2/22/19,10:56:47,275,LUX     
2814,2/22/19,10:56:57,247,LUX     
2815,2/22/19,10:57:07,229,LUX     
2816,2/22/19,10:57:17,222,LUX     
2817,2/22/19,10:57:27,229,LUX     
2818,2/22/19,10:57:37,237,LUX     
2819,2/22/19,10:57:47,251,LUX     
2820,2/22/19,10:57:57,277,LUX     
2821,2/22/19,10:58:07,301,LUX     
2822,2/22/19,10:58:17,318,LUX     
2823,2/22/19,10:58:27,319,LUX     
2824,2/22/19,10:58:37,317,LUX     
2825,2/22/19,10:58:47,304,LUX     
2826,2/22/19,10:58:57,299,LUX     
2827,2/22/19,10:59:07,287,LUX     
2828,2/22/19,10:59:17,282,LUX     
2829,2/22/19,10:59:27,278,LUX     
2830,2/22/19,10:59:37,275,LUX     
2831,2/22/19,10:59:47,274,LUX     
2832,2/22/19,10:59:57,277,LUX     
2833,2/22/19,11:00:07,280,LUX     
2834,2/22/19,11:00:17,277,LUX     
2835,2/22/19,11:00:27,267,LUX     
2836,2/22/19,11:00:37,256,LUX     
2837,2/22/19,11:00:47,253,LUX     
2838,2/22/19,11:00:57,262,LUX     
2839,2/22/19,11:01:07,256,LUX     
2840,2/22/19,11:01:17,261,LUX     
2841,2/22/19,11:01:27,242,LUX     
2842,2/22/19,11:01:37,220,LUX     
2843,2/22/19,11:01:47,205,LUX     
2844,2/22/19,11:01:57,192,LUX     
2845,2/22/19,11:02:07,174,LUX     
2846,2/22/19,11:02:17,160,LUX     
2847,2/22/19,11:02:27,150,LUX     
2848,2/22/19,11:02:37,139,LUX     
2849,2/22/19,11:02:47,131,LUX     
2850,2/22/19,11:02:57,122,LUX     
2851,2/22/19,11:03:07,117,LUX     
2852,2/22/19,11:03:17,111,LUX     
2853,2/22/19,11:03:27,103,LUX     
