;GL_SpectroSoft	3.1.105
;SPX	
Pos	Name	x	y	u'	v'	L*	a*	b*	X	Y	Z	x₁₀	y₁₀	y₁₀	u₁₀'	V₁₀'	L*₁₀	a*₁₀	b*₁₀	X₁₀	Y₁₀	Z₁₀	CCT	Chromaticity Error	Duv	Peak Wavelength	Peak Value	FWHM	Dominant Wavelength	Centroid Wavelength	Luminous Intensity	Luminous Efficacy	Scotopic	S/P	Purity	Radiometric	Ra	R₁	R₂	R₃	R₄	R₅	R₆	R₇	R₈	R₉	R₁₀	R₁₁	R₁₂	R₁₃	R₁₄	R₁₅	Mivis	Miuv	UV Content	Binning	Brightness	Pass	PPFD	PPF	PAR	EB	KBV	nB	Ethr	LB	ES	EUVA	EUV	LIRA	LVISIRA	EIR	ESkin	Melatonin Brainard	Melatonin Thapan	Melatonin Aube	Rf	Rg	Rfskin	Rfh01	Rfh02	Rfh03	Rfh04	Rfh05	Rfh06	Rfh07	Rfh08	Rfh09	Rfh10	Rfh11	Rfh12	Rfh13	Rfh14	Rfh15	Rfh16	Rfhc01	Rfhc02	Rfhc03	Rfhc04	Rfhc05	Rfhc06	Rfhc07	Rfhc08	Rfhc09	Rfhc10	Rfhc11	Rfhc12	Rfhc13	Rfhc14	Rfhc15	Rfhc16	Rf01	Rf02	Rf03	Rf04	Rf05	Rf06	Rf07	Rf08	Rf09	Rf10	Rf11	Rf12	Rf13	Rf14	Rf15	Rf16	Rf17	Rf18	Rf19	Rf20	Rf21	Rf22	Rf23	Rf24	Rf25	Rf26	Rf27	Rf28	Rf29	Rf30	Rf31	Rf32	Rf33	Rf34	Rf35	Rf36	Rf37	Rf38	Rf39	Rf40	Rf41	Rf42	Rf43	Rf44	Rf45	Rf46	Rf47	Rf48	Rf49	Rf50	Rf51	Rf52	Rf53	Rf54	Rf55	Rf56	Rf57	Rf58	Rf59	Rf60	Rf61	Rf62	Rf63	Rf64	Rf65	Rf66	Rf67	Rf68	Rf69	Rf70	Rf71	Rf72	Rf73	Rf74	Rf75	Rf76	Rf77	Rf78	Rf79	Rf80	Rf81	Rf82	Rf83	Rf84	Rf85	Rf86	Rf87	Rf88	Rf89	Rf90	Rf91	Rf92	Rf93	Rf94	Rf95	Rf96	Rf97	Rf98	Rf99	Flicker	Fi	Fp	SVM	EML	EMLR
10	2019-03-28T09:32:00	0.2564	0.327	0.16	0.459	100	-31.02	-10.75	482.14	614.75	783.2	0.2613	0.3345	0.3345	0.161	0.4638	100	-31.23	-8.08	538.89	689.71	833.52	10365	0.032	0.03282	479.22	13.46	161.17	490.7	523.31	61.39		751.59	1.22		2.299	75.6	66.4	83.1	86.6	65.7	72.3	82.7	86.2	61.8	-32.7	71.2	61.6	73.2	69	90.3	57.3	2.5	5.6	0				9.64	-	1.553	0.6701	0.00109	0.2995	917.3312	0	2.784e-07	0.01409	0.01409	0	0	0	2.3011	1.0598	1.3947	1.1479	78	84	81	66	74	80	84	81	80	79	75	83	89	89	79	76	60	63	67	-17	-10	-8	-6	-10	-10	-12	-14	-9	-3	-1	1	-1	-6	-13	-12	80	62	73	82	56	80	54	53	90	67	70	67	71	92	80	73	82	82	84	66	83	79	91	88	85	84	84	93	77	77	78	81	80	83	89	81	83	74	95	94	88	72	71	99	71	74	83	63	75	80	85	78	67	78	80	68	66	67	84	93	88	86	90	74	78	79	78	88	96	87	86	96	84	93	90	88	93	91	87	83	65	93	85	83	80	62	59	59	64	62	74	54	69	52	59	70	77	64	51	-	-	-	-	701.29	1.39
11	2019-03-28T09:32:30	0.2552	0.3271	0.1591	0.4589	100	-31.85	-10.94	514.65	659.65	842.66	0.2601	0.3346	0.3346	0.1602	0.4636	100	-31.99	-8.25	575.53	740.21	896.64	10463	0.033	0.03359	479.22	14.43	159.88	490.7	522.9	65.87		809.2	1.23		2.4624	75	65.4	82.5	86.6	64.9	71.5	82.1	86.1	61.2	-35.6	70.1	60.6	72.4	68	90.2	56.3	2.5	5.7	0				10.33	-	1.664	0.7202	0.001092	0.3003	915.8753	0	2.918e-07	0.01496	0.01496	0	0	0	2.4645	1.141	1.502	1.2358	77	83	80	66	73	80	84	81	80	79	74	82	89	89	79	76	59	62	66	-17	-10	-9	-6	-10	-10	-12	-14	-9	-3	-1	1	-1	-6	-13	-12	79	61	72	81	55	79	53	52	90	66	69	66	70	92	79	73	82	82	84	66	83	78	91	88	85	84	84	93	77	77	78	81	80	83	89	80	83	74	95	94	87	72	71	99	71	74	82	62	74	79	84	77	65	78	79	67	65	66	83	92	87	85	90	73	77	78	77	87	96	87	85	96	84	93	89	88	93	91	87	83	65	93	85	83	80	62	59	59	63	61	74	53	68	51	58	70	76	63	50	-	-	-	-	754.81	1.39
12	2019-03-28T09:33:00	0.2543	0.3265	0.1587	0.4584	100	-32.12	-11.31	542.49	696.55	894.55	0.2593	0.3341	0.3341	0.1598	0.4633	100	-32.29	-8.59	606.8	781.93	951.83	10565	0.033	0.03385	479.22	15.31	158.75	490.6	522.51	69.55		857.52	1.23		2.6014	74.8	65	82.2	86.5	64.5	71.2	81.9	86.1	60.9	-36.9	69.7	60.1	72.1	67.7	90.1	56	2.6	5.7	0				10.91	-	1.759	0.7642	0.001097	0.3015	911.4349	0	3.665e-07	0.01583	0.01583	0	0	0	2.6034	1.21	1.5926	1.3108	77	83	80	65	72	80	84	80	80	78	74	82	89	89	79	76	59	62	65	-17	-10	-9	-6	-10	-10	-12	-14	-10	-4	-1	1	-1	-6	-13	-12	79	60	72	81	55	79	52	52	90	66	69	66	70	92	79	73	81	81	83	65	82	78	91	88	85	84	84	93	77	76	78	81	80	83	89	80	83	73	95	94	87	72	70	99	71	73	82	62	74	79	84	77	65	77	79	66	65	66	83	92	87	85	90	73	77	78	77	87	96	87	85	96	83	93	89	88	93	91	87	83	65	93	85	83	80	62	58	58	63	60	74	53	68	51	58	69	76	62	50	-	-	-	-	800.3	1.4
13	2019-03-28T09:33:30	0.2543	0.326	0.1588	0.4582	100	-31.91	-11.47	556.39	713.43	918.31	0.2592	0.3337	0.3337	0.1599	0.463	100	-32.12	-8.74	622.27	800.99	977.25	10619	0.033	0.03367	479.22	15.71	158.91	490.5	522.63	71.24		878.84	1.23		2.6718	75	65.3	82.4	86.6	64.8	71.5	82	86.2	61.3	-35.7	69.9	60.5	72.2	67.9	90.2	56.3	2.5	5.7	0				11.2	-	1.806	0.7848	0.0011	0.3017	909.0699	0	5.339e-07	0.01732	0.01732	0	0	0	2.6731	1.2405	1.6327	1.3442	77	83	80	65	73	80	84	81	80	78	74	82	89	89	79	76	59	62	66	-17	-10	-9	-6	-10	-10	-12	-14	-10	-4	-1	1	-1	-6	-13	-12	79	61	72	81	55	79	53	52	90	66	69	66	70	92	79	73	81	82	84	66	82	78	91	88	85	84	84	93	77	76	78	81	80	83	89	80	83	73	95	94	87	72	70	99	71	74	82	62	74	79	84	77	65	78	79	67	65	66	83	92	87	85	90	73	77	78	77	87	96	87	85	96	84	93	89	88	93	91	87	83	65	93	85	83	80	62	58	58	63	61	74	53	68	51	58	69	76	63	50	-	-	-	-	820.5	1.4
14	2019-03-28T09:34:00	0.2545	0.3253	0.1592	0.4578	100	-31.38	-11.73	558.79	714.1	922.52	0.2594	0.3329	0.3329	0.1602	0.4627	100	-31.68	-8.99	624.78	801.96	981.95	10619	0.032	0.03319	479.22	15.8	159.02	490.4	522.64	71.31		880.24	1.23		2.6806	75.3	65.8	82.7	86.5	65.2	71.9	82.4	86.2	61.6	-34.1	70.6	61	72.9	68.5	90.2	56.9	2.5	5.7	0				11.24	-	1.814	0.789	0.001105	0.3023	905.1248	0	4.354e-07	0.01677	0.01677	0	0	0	2.6825	1.2435	1.6361	1.3479	77	84	81	66	73	80	84	81	80	79	74	82	89	89	79	76	59	62	66	-17	-10	-9	-6	-10	-10	-12	-14	-9	-3	-1	1	-1	-6	-13	-12	80	61	73	81	56	79	53	53	90	66	70	66	71	92	79	73	82	82	84	66	83	78	91	88	85	84	84	93	77	77	78	81	80	83	89	80	83	74	95	94	87	72	71	99	71	74	82	62	75	79	84	78	66	78	79	67	66	67	83	93	87	85	90	74	78	78	78	88	96	87	86	96	84	93	90	88	93	91	87	82	65	93	85	83	80	62	59	59	63	61	74	54	68	52	59	70	76	63	51	-	-	-	-	822.49	1.4
15	2019-03-28T09:34:30	0.255	0.3242	0.1599	0.4573	100	-30.55	-12.05	555.46	706.08	916.31	0.2598	0.332	0.332	0.1607	0.4622	100	-30.99	-9.3	620.75	793.28	975.6	10623	0.032	0.03244	479.22	15.76	159.12	490.2	522.79	70.51		871.01	1.23		2.6641	75.8	66.8	83.4	86.4	65.9	72.7	83.1	86.1	62.2	-31.5	71.8	61.9	73.8	69.4	90.2	57.8	2.5	5.6	0				11.15	-	1.802	0.7845	0.001111	0.3027	900.0428	0	5.555e-07	0.01763	0.01763	0	0	0	2.6655	1.232	1.6197	1.3358	78	84	81	67	74	81	84	80	80	79	75	83	90	89	79	76	60	63	67	-16	-9	-8	-6	-10	-10	-12	-14	-9	-3	-1	1	-2	-6	-13	-12	80	62	73	82	57	80	54	54	90	68	71	67	72	92	80	74	82	82	84	67	83	79	91	88	85	84	84	93	77	77	78	81	80	83	89	81	83	74	95	94	87	72	71	99	71	74	83	63	75	80	85	78	67	79	80	68	67	68	84	93	88	86	90	75	78	79	79	88	96	88	86	96	85	93	90	87	92	91	87	82	65	93	85	83	80	62	59	59	64	62	74	54	69	52	59	70	77	64	52	-	-	-	-	814.95	1.41
16	2019-03-28T09:35:00	0.2553	0.3227	0.1605	0.4565	100	-29.68	-12.61	543.28	686.75	898.29	0.2598	0.3306	0.3306	0.1612	0.4615	100	-30.3	-9.83	606.84	772.08	956.69	10677	0.031	0.03166	479.22	15.49	158.9	490	522.73	68.58		849.25	1.24		2.6047	76.3	67.7	84	86.1	66.5	73.5	83.8	86	62.7	-28.9	73.1	62.8	74.9	70.3	90.1	58.7	2.5	5.6	0				10.89	-	1.764	0.7698	0.001121	0.304	892.136	0	5.082e-07	0.0174	0.0174	0	0	0	2.6063	1.2034	1.5807	1.3054	78	84	82	67	75	81	84	80	80	80	76	83	90	89	79	76	60	63	68	-16	-9	-8	-6	-10	-10	-12	-13	-9	-3	-1	1	-2	-7	-13	-12	81	63	74	83	57	80	55	55	90	69	72	69	72	93	80	74	83	83	85	68	83	79	91	88	85	84	84	93	77	77	78	80	80	83	89	81	83	74	95	94	88	72	71	99	72	74	83	63	75	80	85	79	68	79	80	69	68	69	84	93	88	86	90	75	79	80	79	89	96	88	87	97	85	93	91	87	92	90	86	82	65	93	85	83	79	62	59	60	64	62	74	54	69	53	60	71	78	66	53	-	-	-	-	796	1.41
17	2019-03-28T09:35:30	0.2546	0.3214	0.1605	0.4557	100	-29.45	-13.2	526.18	664.18	876.01	0.2591	0.3294	0.3294	0.1611	0.4607	100	-30.17	-10.38	587.72	747.16	933.22	10813	0.031	0.03149	479.22	15.09	158.24	489.8	522.59	66.32		824.59	1.24		2.5303	76.4	67.9	84.1	86.1	66.7	73.7	84	86.1	63	-28.1	73.3	63	75.1	70.5	90.1	59	2.5	5.6	0				10.57	-	1.715	0.7511	0.001131	0.3054	884.2993	0	5.1e-07	0.01711	0.01711	0	0	0	2.532	1.17	1.5363	1.2698	78	84	82	67	75	81	84	80	80	80	76	84	90	89	79	76	60	63	68	-16	-9	-8	-6	-10	-10	-12	-13	-8	-3	0	1	-2	-7	-13	-12	81	64	74	83	58	80	56	55	90	69	72	69	73	93	80	75	83	83	85	68	83	79	91	88	85	84	84	92	77	77	78	80	80	83	89	81	83	74	95	94	88	72	71	99	72	74	83	63	75	80	85	79	68	79	80	69	68	69	84	93	88	86	90	76	79	80	79	89	96	88	87	97	86	93	91	87	92	90	86	82	65	92	85	83	80	62	59	60	64	62	74	54	69	53	60	71	78	66	53	-	-	-	-	773.79	1.42
18	2019-03-28T09:36:01	0.2531	0.3202	0.1598	0.4548	100	-29.81	-13.93	504.15	637.85	849.94	0.2576	0.3283	0.3283	0.1604	0.4599	100	-30.58	-11.07	563.33	718.04	905.7	11032	0.031	0.03187	479.22	14.59	157.04	489.6	522.09	63.69		796.85	1.25		2.4393	76.2	67.4	83.8	86.1	66.3	73.3	83.6	86.1	62.9	-29.3	72.7	62.5	74.7	70	90.1	58.6	2.5	5.7	0				10.18	-	1.654	0.7289	0.001143	0.3075	875.1055	0	5.789e-07	0.01734	0.01734	0	0	0	2.4403	1.132	1.4864	1.2292	78	84	81	67	74	81	84	80	80	79	76	83	90	89	79	76	60	63	68	-16	-9	-8	-6	-10	-10	-12	-13	-9	-3	-1	1	-2	-7	-13	-12	80	63	74	82	57	80	55	54	90	68	71	68	72	93	80	74	83	83	84	67	83	79	91	88	85	84	83	92	77	77	78	80	80	83	89	81	83	74	95	94	88	72	71	99	71	74	83	63	75	80	85	78	67	79	80	69	67	68	84	93	88	86	90	75	79	79	79	88	96	88	87	97	85	93	90	87	92	90	86	82	65	92	85	83	80	62	59	60	64	62	74	54	69	53	60	71	78	65	52	-	-	-	-	748.4	1.43
19	2019-03-28T09:36:31	0.2511	0.3192	0.1587	0.454	100	-30.54	-14.66	486.26	618.07	832.09	0.2556	0.3274	0.3274	0.1593	0.4592	100	-31.35	-11.74	543.67	696.38	886.74	11284	0.032	0.03259	479.22	14.24	155.56	489.5	521.27	61.72		778.09	1.26		2.3661	75.6	66.5	83.2	85.8	65.5	72.6	83	86	62.3	-32.4	71.8	61.5	74.1	69.1	89.9	57.7	2.6	5.7	0				9.87	-	1.608	0.7134	0.001154	0.3099	866.401	0	4.816e-07	0.01623	0.01623	0	0	0	2.3677	1.1066	1.4527	1.2019	77	84	81	66	74	79	84	80	80	79	75	83	89	89	79	75	59	62	67	-17	-8	-9	-6	-10	-10	-12	-14	-9	-3	-1	1	-2	-7	-13	-12	80	62	73	82	56	80	54	53	90	67	70	67	71	92	80	74	82	82	84	67	82	78	91	87	84	83	83	92	76	76	78	80	79	82	89	80	82	73	95	94	87	71	70	99	71	74	82	62	75	79	84	78	66	78	79	68	66	67	83	93	87	86	90	74	79	79	78	88	96	87	86	96	84	93	90	87	92	90	86	82	64	92	85	83	79	62	58	59	63	61	74	54	68	52	59	70	77	64	51	-	-	-	-	731.41	1.44
