;GL_SpectroSoft	3.1.105
;SPX	
Pos	Name	x	y	u'	v'	L*	a*	b*	X	Y	Z	x₁₀	y₁₀	y₁₀	u₁₀'	V₁₀'	L*₁₀	a*₁₀	b*₁₀	X₁₀	Y₁₀	Z₁₀	CCT	Chromaticity Error	Duv	Peak Wavelength	Peak Value	FWHM	Dominant Wavelength	Centroid Wavelength	Luminous Intensity	Luminous Efficacy	Scotopic	S/P	Purity	Radiometric	Ra	R₁	R₂	R₃	R₄	R₅	R₆	R₇	R₈	R₉	R₁₀	R₁₁	R₁₂	R₁₃	R₁₄	R₁₅	Mivis	Miuv	UV Content	Binning	Brightness	Pass	PPFD	PPF	PAR	EB	KBV	nB	Ethr	LB	ES	EUVA	EUV	LIRA	LVISIRA	EIR	ESkin	Melatonin Brainard	Melatonin Thapan	Melatonin Aube	Rf	Rg	Rfskin	Rfh01	Rfh02	Rfh03	Rfh04	Rfh05	Rfh06	Rfh07	Rfh08	Rfh09	Rfh10	Rfh11	Rfh12	Rfh13	Rfh14	Rfh15	Rfh16	Rfhc01	Rfhc02	Rfhc03	Rfhc04	Rfhc05	Rfhc06	Rfhc07	Rfhc08	Rfhc09	Rfhc10	Rfhc11	Rfhc12	Rfhc13	Rfhc14	Rfhc15	Rfhc16	Rf01	Rf02	Rf03	Rf04	Rf05	Rf06	Rf07	Rf08	Rf09	Rf10	Rf11	Rf12	Rf13	Rf14	Rf15	Rf16	Rf17	Rf18	Rf19	Rf20	Rf21	Rf22	Rf23	Rf24	Rf25	Rf26	Rf27	Rf28	Rf29	Rf30	Rf31	Rf32	Rf33	Rf34	Rf35	Rf36	Rf37	Rf38	Rf39	Rf40	Rf41	Rf42	Rf43	Rf44	Rf45	Rf46	Rf47	Rf48	Rf49	Rf50	Rf51	Rf52	Rf53	Rf54	Rf55	Rf56	Rf57	Rf58	Rf59	Rf60	Rf61	Rf62	Rf63	Rf64	Rf65	Rf66	Rf67	Rf68	Rf69	Rf70	Rf71	Rf72	Rf73	Rf74	Rf75	Rf76	Rf77	Rf78	Rf79	Rf80	Rf81	Rf82	Rf83	Rf84	Rf85	Rf86	Rf87	Rf88	Rf89	Rf90	Rf91	Rf92	Rf93	Rf94	Rf95	Rf96	Rf97	Rf98	Rf99	Flicker	Fi	Fp	SVM	EML	EMLR
										lx													K			nm		nm	nm	nm	cd		lx			W/m²																							µmol/m²/s	µmol/s	W/m²	W/m²	W/lm		lx	W/m²/sr	W/m²	W/m²	W/m²	W/m²/sr	W/m²/sr	W/m²	W/m²	W/m²	W/m²	W/m²																				%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%																																																																																																				Hz		%		lx	
1	2019-03-28T09:27:30	0.2454	0.3189	0.155	0.453	100	-33.94	-15.73	381.45	495.56	677.13	0.2504	0.3274	0.3274	0.1558	0.4584	100	-34.54	-12.66	427.75	559.23	721.37	11884	0.035	0.03579	479.22	11.6	153.13	489.6	515.35	49.48		634.36	1.28		1.852	72.4	61.5	80.8	84.5	61.1	68.8	80.6	84.6	57.2	-54.6	67.2	56.3	71	64.5	88.9	51.9	2.9	5.8	0				7.8	-	1.275	0.5801	0.001171	0.3174	854.3143	0	-1.647e-08	0.01041	0.01041	0	0	0	1.8552	0.9029	1.1845	0.9797	75	82	78	60	69	76	83	79	78	76	71	81	88	88	77	73	53	56	60	-20	-10	-11	-7	-10	-11	-13	-16	-11	-4	-1	1	-2	-8	-16	-14	76	55	69	79	48	76	45	44	88	61	65	61	66	91	76	69	79	79	82	61	80	75	91	87	83	83	83	92	76	75	77	80	79	82	88	80	81	72	95	93	87	68	67	98	67	71	81	58	72	76	82	74	61	75	76	62	61	62	80	92	85	85	90	70	75	76	75	86	96	85	85	96	82	93	89	86	92	90	86	81	61	92	84	81	77	58	53	53	58	55	73	47	63	43	52	65	72	57	42	-	-	-	-	596.69	1.47
2	2019-03-28T09:28:00	0.2452	0.3183	0.155	0.4526	100	-33.83	-16	383.06	497.28	682.05	0.2501	0.3268	0.3268	0.1558	0.458	100	-34.49	-12.91	429.51	561.36	726.69	11969	0.035	0.03571	477.02	11.68	152.8	489.5	515.89	49.66		637.9	1.28		1.869	72.5	61.7	80.8	84.5	61.3	69	80.6	84.7	57.5	-53.3	67.4	56.5	71.2	64.7	88.9	52.2	2.9	5.8	0				7.85	-	1.285	0.5844	0.001175	0.3176	850.8836	0	3.052e-08	0.01103	0.01103	0	0	0	1.8719	0.9085	1.1916	0.9859	75	82	78	60	69	76	83	79	78	76	71	81	88	88	77	73	53	56	61	-20	-10	-11	-7	-10	-11	-13	-16	-11	-4	-1	1	-2	-8	-16	-14	76	55	69	79	48	76	46	45	88	61	65	61	66	91	76	69	79	79	82	61	80	75	91	87	83	83	83	92	76	75	77	79	79	82	88	80	81	72	95	93	87	68	67	98	67	71	81	58	72	76	82	74	61	75	76	62	61	62	80	92	85	85	90	70	75	76	75	86	96	85	85	96	82	93	89	86	92	90	86	81	62	92	84	81	77	58	53	53	58	55	73	47	64	44	52	65	72	57	42	-	-	-	-	600.34	1.47
3	2019-03-28T09:28:30	0.2456	0.3178	0.1554	0.4524	100	-33.35	-16.13	384.43	497.52	683.6	0.2504	0.3264	0.3264	0.1561	0.4578	100	-34.09	-13.03	430.87	561.69	728.41	11963	0.034	0.03527	479.22	11.71	152.71	489.4	516.9	49.68		638.24	1.28		1.882	73	62.5	81.2	84.7	61.9	69.6	81	84.9	58.4	-49.7	68.1	57.2	71.7	65.3	89	53.1	2.9	5.8	0				7.89	-	1.291	0.5858	0.001178	0.3171	849.2366	0	4.734e-08	0.01127	0.01127	0	0	0	1.8849	0.9094	1.1926	0.9871	75	82	78	61	70	76	84	79	78	77	72	81	88	88	77	73	54	57	62	-19	-10	-10	-7	-10	-10	-13	-15	-10	-4	-1	1	-2	-7	-15	-14	77	56	70	79	50	77	47	47	89	62	66	62	67	91	77	70	80	80	82	62	80	76	91	87	83	83	83	92	76	75	77	79	79	82	88	80	81	72	95	93	87	69	68	98	68	71	81	59	72	77	82	75	61	75	77	63	62	63	81	92	86	85	90	71	76	76	76	86	96	85	85	96	82	93	89	86	92	90	86	81	62	92	84	81	78	59	54	54	59	56	73	48	64	45	53	66	73	58	44	-	-	-	-	600.93	1.47
4	2019-03-28T09:29:01	0.247	0.3179	0.1563	0.4526	100	-32.49	-15.86	384.67	495.1	677.78	0.2517	0.3264	0.3264	0.157	0.458	100	-33.29	-12.81	430.81	558.73	722.27	11818	0.033	0.03447	477.02	11.6	153.29	489.4	518.33	49.44		632.47	1.28		1.8829	73.9	63.7	81.8	85.1	63.1	70.5	81.6	85.3	59.7	-44	69.2	58.5	72.4	66.5	89.3	54.6	2.8	5.7	0				7.88	-	1.288	0.581	0.001173	0.3153	852.2143	0	8.354e-08	0.01137	0.01137	0	0	0	1.8856	0.901	1.1818	0.9783	76	83	79	63	71	77	84	79	79	77	72	82	89	88	78	74	56	59	63	-18	-9	-10	-6	-10	-10	-13	-15	-10	-4	-1	1	-2	-7	-15	-13	78	58	71	80	52	78	49	49	89	63	67	63	68	92	78	71	80	81	82	63	81	76	91	87	83	83	83	92	76	76	77	80	79	82	88	80	82	73	95	93	87	69	68	98	69	72	82	60	73	77	83	76	63	76	78	64	63	64	82	92	86	85	90	72	77	77	76	87	96	86	85	96	83	93	89	86	92	90	86	81	63	92	84	82	78	60	55	55	60	57	73	50	66	48	55	67	74	60	46	-	-	-	-	595.38	1.46
5	2019-03-28T09:29:30	0.249	0.3183	0.1576	0.4532	100	-31.42	-15.36	392.96	502.3	682.84	0.2536	0.3267	0.3267	0.1582	0.4585	100	-32.23	-12.38	439.72	566.43	727.76	11546	0.032	0.03345	477.02	11.67	154.47	489.4	519.69	50.16		637.22	1.27		1.9164	74.8	65.2	82.6	85.4	64.3	71.6	82.4	85.7	61	-37.9	70.6	60.1	73.4	67.9	89.6	56.2	2.7	5.7	0				8.01	-	1.308	0.5855	0.001166	0.313	857.8409	0	1.36e-07	0.01168	0.01168	0	0	0	1.9189	0.9072	1.1905	0.9853	77	83	80	65	73	78	83	80	79	78	74	82	89	88	78	75	58	61	65	-17	-9	-9	-6	-10	-10	-12	-14	-9	-3	-1	1	-2	-7	-14	-13	79	60	72	81	54	79	52	51	89	65	69	65	70	92	79	73	81	81	83	65	82	77	91	87	84	83	83	92	76	76	77	80	79	82	89	80	82	73	95	94	87	70	69	98	70	73	82	61	74	78	83	77	64	77	79	66	65	66	82	92	87	86	90	73	78	78	77	87	96	87	86	96	84	93	90	86	92	90	86	81	64	92	84	82	79	61	57	57	62	59	74	52	67	50	57	69	75	62	49	-	-	-	-	599.52	1.45
6	2019-03-28T09:30:01	0.2518	0.3195	0.1591	0.4542	100	-30.27	-14.43	404.23	512.92	688.25	0.2563	0.3277	0.3277	0.1597	0.4594	100	-31.06	-11.53	451.9	577.75	733.53	11203	0.031	0.03232	479.22	11.78	156.58	489.5	521.23	51.22		644.03	1.26		1.9584	75.8	66.8	83.4	85.9	65.7	72.8	83.3	86	62.3	-32	72.1	61.8	74.4	69.4	89.9	57.9	2.6	5.7	0				8.19	-	1.333	0.5905	0.001151	0.3096	868.6821	0	1.545e-07	0.01207	0.01207	0	0	0	1.9609	0.9156	1.202	0.9943	78	84	81	66	74	80	84	80	80	79	75	83	90	89	79	75	59	62	67	-17	-9	-8	-6	-10	-10	-12	-14	-9	-3	-1	1	-2	-7	-13	-12	80	62	73	82	56	80	54	53	90	67	70	67	71	92	80	74	82	82	84	67	83	78	91	87	84	84	83	92	77	76	78	80	80	82	89	80	82	74	95	94	87	71	70	99	71	74	83	62	75	79	84	78	66	78	80	68	66	67	83	93	88	86	90	75	79	79	79	88	96	88	87	96	85	93	90	87	92	90	86	82	64	92	85	83	79	62	58	59	63	61	74	54	68	52	59	70	77	64	51	-	-	-	-	605.26	1.44
7	2019-03-28T09:30:31	0.2547	0.3216	0.1605	0.4558	100	-29.47	-13.13	417.5	527.06	694.47	0.2592	0.3295	0.3295	0.1611	0.4608	100	-30.17	-10.33	466.37	592.86	739.93	10776	0.031	0.0315	479.22	11.95	159.07	489.8	522.3	52.63		653.97	1.24		2.0021	76.4	67.9	84.1	86	66.6	73.6	84	86	62.8	-28.5	73.3	63	75.2	70.5	90.1	58.9	2.5	5.7	0				8.38	-	1.36	0.5958	0.00113	0.3057	884.6328	0	1.093e-07	0.01176	0.01176	0	0	0	2.0049	0.9277	1.2182	1.0067	78	84	82	67	75	81	84	80	81	80	76	84	90	89	79	76	60	63	68	-16	-9	-8	-6	-10	-10	-12	-13	-8	-3	-1	1	-2	-7	-13	-12	81	63	74	83	58	80	55	55	90	69	72	69	72	93	80	74	83	83	85	68	83	79	91	88	85	84	84	92	77	77	78	80	80	83	89	81	83	74	95	94	88	72	71	99	72	74	83	63	76	80	85	79	68	79	80	69	68	69	84	93	88	86	90	76	79	80	79	89	96	88	87	97	86	94	91	87	92	90	86	82	65	92	85	83	80	62	59	60	64	63	75	54	69	53	60	71	78	66	53	-	-	-	-	613.56	1.42
8	2019-03-28T09:31:00	0.2566	0.3235	0.1612	0.4572	100	-29.25	-12.04	436.92	550.82	714.73	0.2612	0.3313	0.3313	0.1619	0.4621	100	-29.84	-9.3	487.88	618.92	761.19	10516	0.03	0.03124	479.22	12.35	160.77	490.1	522.93	55		677.58	1.23		2.0815	76.6	68.3	84.3	86.2	67	73.9	84.2	86	62.9	-27.5	73.7	63.5	75.3	70.9	90.2	59.2	2.5	5.6	0				8.73	-	1.411	0.6129	0.001113	0.3025	898.7067	0	1.225e-07	0.01266	0.01266	0	0	0	2.084	0.9592	1.2599	1.04	79	84	82	68	75	81	84	81	81	80	76	84	90	89	79	76	61	64	69	-16	-9	-8	-6	-10	-10	-11	-13	-8	-3	0	1	-2	-6	-13	-12	81	64	74	83	58	81	56	55	90	69	72	69	73	93	81	75	83	83	85	68	84	79	91	88	85	84	84	93	77	77	78	81	80	83	89	81	83	74	95	94	88	72	71	99	72	75	83	64	76	81	85	79	68	79	81	70	68	69	85	93	89	86	90	76	79	80	80	89	96	89	87	97	86	94	91	87	92	90	86	82	65	93	85	83	79	62	60	60	65	63	75	54	69	53	60	71	79	66	53	-	-	-	-	634.68	1.4
9	2019-03-28T09:31:30	0.2571	0.3255	0.1609	0.4583	100	-29.91	-11.19	455.71	576.94	739.67	0.2618	0.3331	0.3331	0.1618	0.4631	100	-30.31	-8.5	509.02	647.66	787.44	10374	0.031	0.03181	479.22	12.78	161.38	490.4	523.39	57.61		706.08	1.22		2.1693	76.2	67.6	83.9	86.4	66.5	73.3	83.7	86.1	62.4	-29.5	72.8	62.8	74.5	70.2	90.3	58.5	2.5	5.6	0				9.09	-	1.466	0.6337	0.001098	0.3003	910.4755	0	2.904e-07	0.01361	0.01361	0	0	0	2.1713	0.9974	1.3112	1.0806	78	84	81	67	75	81	85	81	81	80	76	83	90	89	79	76	60	63	68	-16	-9	-8	-6	-10	-10	-12	-13	-9	-3	-1	1	-2	-6	-13	-12	81	63	73	83	57	80	55	54	90	69	72	69	72	93	80	74	83	83	85	67	84	79	92	88	85	84	84	93	77	77	78	81	80	83	89	81	83	74	95	94	88	72	71	99	72	74	83	63	76	80	85	79	68	79	80	69	68	69	84	93	88	86	90	75	79	80	79	89	96	88	87	97	85	93	90	87	92	91	87	82	65	93	85	83	79	62	60	60	64	63	74	54	69	53	60	71	78	66	53	-	-	-	-	660	1.39
