;GL_SpectroSoft	3.1.105
;SPX	
Pos	Name	x	y	u'	v'	L*	a*	b*	X	Y	Z	x₁₀	y₁₀	y₁₀	u₁₀'	V₁₀'	L*₁₀	a*₁₀	b*₁₀	X₁₀	Y₁₀	Z₁₀	CCT	Chromaticity Error	Duv	Peak Wavelength	Peak Value	FWHM	Dominant Wavelength	Centroid Wavelength	Luminous Intensity	Luminous Efficacy	Scotopic	S/P	Purity	Radiometric	Ra	R₁	R₂	R₃	R₄	R₅	R₆	R₇	R₈	R₉	R₁₀	R₁₁	R₁₂	R₁₃	R₁₄	R₁₅	Mivis	Miuv	UV Content	Binning	Brightness	Pass	PPFD	PPF	PAR	EB	KBV	nB	Ethr	LB	ES	EUVA	EUV	LIRA	LVISIRA	EIR	ESkin	Melatonin Brainard	Melatonin Thapan	Melatonin Aube	Rf	Rg	Rfskin	Rfh01	Rfh02	Rfh03	Rfh04	Rfh05	Rfh06	Rfh07	Rfh08	Rfh09	Rfh10	Rfh11	Rfh12	Rfh13	Rfh14	Rfh15	Rfh16	Rfhc01	Rfhc02	Rfhc03	Rfhc04	Rfhc05	Rfhc06	Rfhc07	Rfhc08	Rfhc09	Rfhc10	Rfhc11	Rfhc12	Rfhc13	Rfhc14	Rfhc15	Rfhc16	Rf01	Rf02	Rf03	Rf04	Rf05	Rf06	Rf07	Rf08	Rf09	Rf10	Rf11	Rf12	Rf13	Rf14	Rf15	Rf16	Rf17	Rf18	Rf19	Rf20	Rf21	Rf22	Rf23	Rf24	Rf25	Rf26	Rf27	Rf28	Rf29	Rf30	Rf31	Rf32	Rf33	Rf34	Rf35	Rf36	Rf37	Rf38	Rf39	Rf40	Rf41	Rf42	Rf43	Rf44	Rf45	Rf46	Rf47	Rf48	Rf49	Rf50	Rf51	Rf52	Rf53	Rf54	Rf55	Rf56	Rf57	Rf58	Rf59	Rf60	Rf61	Rf62	Rf63	Rf64	Rf65	Rf66	Rf67	Rf68	Rf69	Rf70	Rf71	Rf72	Rf73	Rf74	Rf75	Rf76	Rf77	Rf78	Rf79	Rf80	Rf81	Rf82	Rf83	Rf84	Rf85	Rf86	Rf87	Rf88	Rf89	Rf90	Rf91	Rf92	Rf93	Rf94	Rf95	Rf96	Rf97	Rf98	Rf99	Flicker	Fi	Fp	SVM	EML	EMLR
										lx													K			nm		nm	nm	nm	cd		lx			W/m²																							µmol/m²/s	µmol/s	W/m²	W/m²	W/lm		lx	W/m²/sr	W/m²	W/m²	W/m²	W/m²/sr	W/m²/sr	W/m²	W/m²	W/m²	W/m²	W/m²																				%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%																																																																																																				Hz		%		lx	
1	2019-04-01T10:22:18	0.3637	0.4027	0.2047	0.5101	100	-8.46	37.87	29878.6	33086.13	19190.31	0.37	0.4034	0.4034	0.2085	0.5113	100	-5.46	38.82	32610	35547.97	19965.26	4610	0.022	0.01696	551.64	493.6	271.05	568.6	587.44	3303.85		26322.44	0.8		126.008	88.1	85.8	91.1	96.6	83	85.2	89.8	92.2	81.1	48.9	82.6	81.7	75.1	86.4	97.8	79.6	1.6	3.3	0				516.05	-	73.449	15.9334	0.0004816	0.1458	2076.5247	0	-3.22e-05	0	0	0	0	0	126.217	33.1088	45.0197	34.7375	88	91	89	86	91	89	88	86	86	85	86	85	87	93	94	89	86	85	85	-6	-4	-4	-6	-9	-9	-9	-7	-4	-1	1	0.02	-1	-4	-5	-5	92	86	86	88	81	92	83	82	95	90	91	89	89	97	89	88	92	90	95	80	94	88	94	94	95	88	86	96	79	76	80	84	80	89	95	81	93	74	94	92	87	86	80	99	85	84	81	76	84	88	88	89	84	88	86	82	80	80	93	92	92	80	85	83	84	82	83	92	93	93	85	97	93	92	88	97	96	98	93	92	82	97	92	93	88	82	85	86	87	86	78	81	87	83	84	90	92	88	83	-	-	-	-	22293.34	0.82
2	2019-04-01T10:22:48	0.3637	0.4027	0.2047	0.5101	100	-8.45	37.86	29350.04	32499.72	18853.73	0.37	0.4034	0.4034	0.2085	0.5113	100	-5.46	38.81	32033.34	34917.81	19615.89	4610	0.022	0.01695	551.64	484.94	271.26	568.6	587.56	3245.29		25854.74	0.8		123.9264	88.1	85.8	91.1	96.6	83	85.2	89.8	92.2	81.1	48.8	82.5	81.7	75.1	86.4	97.8	79.6	1.6	3.3	0				506.99	-	72.168	15.6552	0.0004817	0.1458	2075.9727	0	-2.874e-05	0	0	0	0	0	124.1246	32.5209	44.2207	34.1225	88	91	89	86	91	89	88	86	86	85	86	85	87	93	94	89	86	85	85	-6	-4	-4	-6	-9	-9	-9	-7	-4	-1	1	0.03	-1	-4	-5	-5	92	86	86	88	81	92	83	82	95	90	91	89	89	97	89	88	92	90	95	80	94	88	94	94	95	88	86	96	79	76	80	84	80	89	95	81	93	74	94	92	87	86	80	99	85	84	81	76	84	88	88	89	83	88	86	82	80	80	93	92	92	80	85	83	84	82	83	92	93	93	85	97	93	92	88	97	96	98	93	92	82	97	92	93	88	82	85	86	87	86	78	81	87	83	84	90	92	88	83	-	-	-	-	21897.83	0.82
3	2019-04-01T10:23:18	0.3633	0.4024	0.2046	0.5099	100	-8.5	37.65	29443.1	32612.89	18992.66	0.3696	0.4031	0.4031	0.2083	0.5111	100	-5.52	38.6	32137.31	35043.77	19763.75	4620	0.022	0.01695	551.64	487.09	271.1	568.5	587.29	3256.59		25982.69	0.8		124.3518	88.1	85.7	91.1	96.6	82.9	85.2	89.8	92.2	81	48.6	82.5	81.6	75.1	86.4	97.8	79.6	1.6	3.3	0				508.58	-	72.42	15.7745	0.0004837	0.1464	2067.4436	0	-2.22e-05	0.01883	0.01883	0	0	0	124.5202	32.7009	44.4591	34.3208	88	91	89	86	91	89	89	86	86	85	86	85	87	93	94	89	86	85	85	-6	-4	-4	-6	-9	-9	-9	-7	-4	-1	1	0.04	-1	-4	-5	-5	92	86	86	88	81	92	83	82	95	90	91	89	89	97	89	88	92	90	95	80	94	88	94	94	95	89	86	96	79	76	80	84	80	89	95	81	93	74	94	92	87	86	81	99	85	84	81	76	84	88	88	89	84	88	86	82	80	80	93	92	92	80	85	83	84	82	83	92	93	93	85	97	93	92	88	97	96	98	93	92	82	97	92	93	88	82	85	86	87	86	78	80	87	82	84	90	92	88	83	-	-	-	-	22017.26	0.82
4	2019-04-01T10:23:48	0.3632	0.4024	0.2046	0.5099	100	-8.53	37.63	29440.14	32614.31	19000.41	0.3696	0.403	0.403	0.2083	0.5111	100	-5.54	38.58	32134.98	35045.44	19772.18	4621	0.022	0.01696	551.64	487.02	271.03	568.5	587.26	3256.73		25986.69	0.8		124.3436	88	85.6	91.1	96.6	82.9	85.1	89.7	92.2	80.9	48.4	82.5	81.6	75.1	86.3	97.8	79.5	1.6	3.3	0				508.48	-	72.41	15.7805	0.0004839	0.1465	2066.7455	0	-2.332e-05	0.02226	0.02226	0	0	0	124.5102	32.7067	44.4676	34.3288	88	91	89	86	91	89	89	86	86	85	86	85	87	93	94	89	86	85	85	-6	-4	-4	-6	-9	-9	-9	-7	-4	-1	1	0.04	-1	-4	-5	-5	92	86	86	88	81	92	83	82	95	90	91	89	89	97	89	88	92	90	95	80	94	88	94	94	95	89	86	96	79	76	80	84	80	89	95	81	93	74	94	92	87	86	81	99	85	84	81	76	84	88	88	89	83	88	86	82	80	80	93	92	92	80	85	83	84	82	82	92	93	93	85	97	93	92	88	97	96	98	93	92	82	97	92	93	88	82	85	86	87	86	78	80	87	82	84	90	92	87	83	-	-	-	-	22021.19	0.82
5	2019-04-01T10:24:18	0.3632	0.4024	0.2046	0.5099	100	-8.52	37.63	29428.99	32601.57	18995.05	0.3696	0.403	0.403	0.2083	0.5111	100	-5.53	38.57	32123.05	35031.7	19767.24	4621	0.022	0.01696	551.64	486.98	271.13	568.5	587.28	3255.46		25976.36	0.8		124.4092	88	85.6	91.1	96.6	82.9	85.1	89.7	92.2	80.9	48.4	82.5	81.6	75.1	86.3	97.8	79.5	1.6	3.2	0				508.28	-	72.383	15.7777	0.000484	0.1464	2066.3023	0	-1.834e-05	0.06334	0.06334	0	0	0	124.5438	32.6934	44.4495	34.3149	88	91	89	86	91	89	89	86	86	85	86	85	87	93	94	89	86	85	85	-6	-4	-4	-6	-9	-9	-9	-7	-4	-1	1	0.04	-1	-4	-5	-5	92	86	86	88	81	92	83	82	95	90	91	89	89	97	89	88	92	90	95	80	94	88	94	94	95	89	86	96	79	76	80	84	80	89	95	81	93	74	94	92	87	86	81	99	85	84	81	76	84	88	88	89	84	88	86	82	80	80	93	92	92	80	85	83	84	82	83	92	93	93	85	97	93	92	88	97	96	98	93	92	82	97	92	93	88	82	85	86	87	86	78	80	87	82	84	90	92	87	83	-	-	-	-	22012.38	0.82
6	2019-04-01T10:24:48	0.363	0.4023	0.2045	0.5098	100	-8.57	37.56	29533.49	32726.02	19091.7	0.3694	0.403	0.403	0.2082	0.511	100	-5.58	38.5	32237.97	35167.32	19868.12	4625	0.022	0.01698	551.64	488.72	271.22	568.5	587.2	3267.89		26093.61	0.8		124.9174	88	85.6	91.1	96.6	82.9	85.1	89.7	92.2	80.9	48.3	82.5	81.6	75.1	86.3	97.8	79.5	1.6	3.2	0				510.2	-	72.666	15.8582	0.0004846	0.1466	2063.6684	0	-1.378e-05	0.0848	0.0848	0	0	0	125.04	32.8481	44.6574	34.4789	88	91	89	86	91	89	89	86	86	85	86	85	87	93	94	89	86	85	85	-6	-4	-4	-6	-9	-9	-9	-7	-4	-1	1	0.04	-1	-4	-5	-5	92	86	86	88	81	92	83	82	95	90	91	89	89	97	89	88	92	90	95	80	94	88	94	94	95	89	86	96	79	76	80	84	80	89	95	81	93	74	94	92	87	86	81	99	85	84	81	76	84	88	88	89	84	88	86	82	80	80	93	92	92	80	85	83	84	82	83	92	93	93	85	97	93	92	88	97	96	98	93	92	82	97	92	93	88	82	85	86	87	86	78	80	87	82	84	90	92	87	83	-	-	-	-	22115.48	0.82
7	2019-04-01T10:25:18	0.3631	0.4023	0.2045	0.5099	100	-8.57	37.58	29728.84	32942.75	19209.9	0.3694	0.403	0.403	0.2082	0.511	100	-5.58	38.52	32451.41	35399.37	19991.71	4624	0.022	0.01699	551.64	492.02	271.18	568.5	587.21	3289.53		26260.95	0.8		125.7419	88	85.6	91.1	96.6	82.9	85.1	89.7	92.2	80.9	48.3	82.5	81.6	75.1	86.3	97.8	79.5	1.6	3.2	0				513.49	-	73.131	15.9587	0.0004844	0.1466	2064.2538	0	-1.308e-05	0.08772	0.08772	0	0	0	125.863	33.0552	44.9423	34.697	88	91	89	86	91	89	89	86	86	85	86	85	87	93	94	89	86	85	85	-6	-4	-4	-6	-9	-9	-9	-7	-4	-1	1	0.04	-1	-4	-5	-5	92	86	86	88	81	92	83	82	95	90	91	89	89	97	89	88	92	90	95	80	94	88	94	94	95	89	86	96	79	76	80	84	80	90	95	81	93	74	94	92	87	86	81	99	85	84	81	76	84	88	88	89	84	88	86	82	80	80	93	92	92	81	85	83	84	82	83	92	93	93	85	97	93	92	88	97	96	98	93	92	82	97	92	93	88	82	85	86	87	86	78	80	87	82	84	90	92	87	83	-	-	-	-	22255.21	0.82
8	2019-04-01T10:25:48	0.363	0.4022	0.2045	0.5098	100	-8.56	37.54	29689.39	32898.29	19198.63	0.3694	0.4029	0.4029	0.2082	0.511	100	-5.58	38.48	32408.69	35352.48	19980.99	4625	0.022	0.01698	551.64	491.04	271.24	568.5	587.13	3285.09		26231.6	0.8		125.6149	88	85.6	91.1	96.6	82.9	85.1	89.7	92.2	80.9	48.3	82.5	81.6	75.1	86.3	97.8	79.5	1.6	3.2	0				512.79	-	73.038	15.9505	0.0004848	0.1466	2062.5287	0	-7.169e-06	0.1264	0.1264	0	0	0	125.7052	33.0221	44.8946	34.6626	88	91	89	86	91	89	89	86	86	85	86	85	87	93	94	89	86	85	85	-6	-4	-4	-6	-9	-9	-9	-7	-4	-1	1	0.04	-1	-4	-5	-5	92	86	86	88	81	92	83	82	95	90	91	89	89	97	89	88	92	90	95	80	94	88	94	94	95	89	86	96	79	76	80	84	80	90	95	81	93	74	94	92	87	86	81	99	85	84	81	76	84	88	88	89	84	88	86	82	80	80	93	92	92	81	85	83	84	82	83	92	93	93	85	97	93	92	88	97	96	98	93	92	82	97	92	93	88	82	85	86	87	86	78	80	87	82	84	89	92	87	83	-	-	-	-	22232.75	0.82
9	2019-04-01T10:26:18	0.3629	0.4021	0.2045	0.5097	100	-8.57	37.46	29728.66	32942.27	19254.15	0.3692	0.4028	0.4028	0.2082	0.5109	100	-5.59	38.4	32451.85	35401.8	20040	4629	0.022	0.01696	551.64	491.82	271.19	568.4	587.04	3289.48		26282.74	0.8		125.859	88	85.6	91.1	96.6	82.9	85.1	89.7	92.2	80.9	48.3	82.5	81.6	75.1	86.3	97.8	79.5	1.6	3.2	0.2				513.54	-	73.155	15.998	0.0004856	0.1468	2059.1527	0	-2.105e-06	0.164	0.164	0	0	0	125.9224	33.0947	44.9897	34.7417	88	91	89	86	91	89	89	86	86	85	86	85	87	93	94	89	86	85	85	-6	-4	-4	-6	-9	-9	-9	-7	-4	-1	1	0.05	-1	-4	-5	-5	92	86	86	88	81	92	83	82	95	90	91	89	89	97	89	88	92	90	95	80	94	88	94	94	95	89	86	96	79	76	80	84	80	90	95	81	93	74	94	92	87	86	81	99	85	84	81	76	84	88	88	89	84	88	86	82	80	80	93	92	92	81	85	83	84	82	83	92	93	93	85	97	93	92	89	97	96	98	93	92	82	97	92	93	88	82	85	86	87	86	78	80	87	82	84	90	92	87	83	-	-	-	-	22280.93	0.82
